EXPERIENCE,POINTS
[4.0],33.88375558867394
[7.0],22.949839914621293
[3.0],24.95622233152972
[5.0],18.156028368794253
[2.0],17.75421686746994
[4.0],29.92869269949028
[2.0],21.678657074340638
[9.0],29.57142857142866
[3.0],23.64021164021145
[9.0],16.832743810005017
[11.0],28.627249357326683
[10.0],14.012566457225693
[2.0],17.125107851596127
[3.0],28.624175824175122
[5.0],28.360784313725233
[1.0],11.095652173913082
[11.0],10.987573577501692
[11.0],21.90557939914166
[6.0],13.391596638655509
[4.0],14.804819277108436
[13.0],23.987711213517773
[12.0],23.71631205673789
[4.0],21.17298187808919
[5.0],35.69808788997019
[11.0],12.590954773869328
[2.0],17.913043478260924
[7.0],19.64265129683006
[0.0],13.586512866015994
[8.0],28.544850498339375
[9.0],13.609828009828055
[0.0],19.634069400631027
[11.0],22.8268839103869
[2.0],23.601532567050082
[4.0],23.60571428571388
[1.0],16.813370473537702
[7.0],22.075949367088505
[3.0],17.78393351800544
[0.0],10.988679245283032
[9.0],10.802443991853387
[5.0],12.249527410207957
[1.0],17.29503916449085
[7.0],16.242424242424153
[3.0],26.134831460674437
[9.0],26.276513825691005
[19.0],16.285714285714313
[2.0],10.987468671679167
[2.0],22.369668246445492
[3.0],15.021299836155121
[5.0],20.091576673865973
[3.0],24.84998010346194
[6.0],31.45650372825185
[9.0],24.560564910374627
[4.0],17.482926829268305
[6.0],23.279620853080402
[1.0],20.916752312435722
[6.0],22.83665987780071
[1.0],14.696346073078532
[2.0],22.053435114503543
[9.0],14.43779527559045
[1.0],20.412587412587516
[5.0],19.410218978102186
[4.0],13.304347826086985
[0.0],18.12297734627828
[7.0],23.881348314606452
[7.0],20.25503355704685
[7.0],11.361639824304463
[3.0],16.660194174757226
[11.0],10.285714285714265
[10.0],15.69902912621364
[0.0],10.381948266373122
[0.0],14.09722780233012
[10.0],18.165055762081675
[6.0],18.778171509567745
[15.0],12.03269754768388
[9.0],11.097949886104761
[4.0],26.8235294117648
[16.0],21.76802507837003
[7.0],15.610619469026501
[6.0],23.181818181818148
[1.0],24.316622691292693
[0.0],14.6348808030113
[1.0],24.10260396424403
[3.0],11.739340305711966
[11.0],19.47862796833764
[1.0],19.45690672963415
[14.0],7.463623395149778
[5.0],20.586866791745216
[3.0],27.1032028469747
[13.0],25.888847444983597
[2.0],18.086956521739065
[4.0],24.66261113710792
[15.0],13.599361532322442
[2.0],32.37800407331923
[8.0],24.735708367854365
[2.0],14.843822843822768
[6.0],19.987538940809863
[1.0],22.11235955056168
[7.0],14.48107163657549
[2.0],21.91551969625063
[4.0],16.622950819672077
[10.0],11.90190735694824
[3.0],23.584634867032786
[5.0],19.362265874828793
[0.0],13.88495575221248
[7.0],16.012558869701845
[2.0],21.295206055508938
[0.0],17.289940828402237
[5.0],21.808135072908588
[10.0],13.55294117647055
[5.0],18.62686567164195
[8.0],25.44458281444566
[2.0],18.3713355048859
[2.0],14.138972809667695
[6.0],23.871044776119106
[4.0],18.416422287389874
[6.0],25.241533308522705
[1.0],19.3521453420949
[17.0],23.062415806016844
[1.0],13.660079051383464
[4.0],22.219435736677063
[2.0],20.14727540500762
[10.0],21.205063291139272
[9.0],15.073569482288805
[7.0],15.15311909262756
[11.0],16.813872832369942
[5.0],23.428996282527812
[3.0],16.95392953929538
[4.0],20.94179339276344
[3.0],21.76797698945352
[13.0],19.84664994625567
[12.0],13.568904593639612
[3.0],30.618771726535076
[1.0],8.510108864696742
[8.0],13.672131147540933
[1.0],16.0
[2.0],13.211009174311931
[1.0],23.141104294478403
[11.0],16.147952443857324
[1.0],19.74526678141137
[5.0],21.541088580576027
[1.0],15.258572752548735
[6.0],16.47972972972985
[3.0],10.341920374707252
[0.0],24.17412333736401
[1.0],21.56651162790695
[10.0],25.354047424366357
[4.0],17.11304347826082
[8.0],24.461924686192503
[7.0],21.07648725212484
[4.0],21.865771812080528
[5.0],9.878934624697342
[8.0],14.091978609625603
[2.0],22.61086375779172
[16.0],16.894592117323555
[13.0],23.8125
[4.0],17.401534526854366
[5.0],34.90241102181339
[2.0],17.323308270676595
[6.0],16.71753057658701
[13.0],16.18897637795272
[3.0],24.35110901368545
[11.0],33.55956678700381
[7.0],19.85611510791383
[12.0],22.321361058600953
[6.0],28.25142857142822
[2.0],15.786913723219383
[11.0],32.47058823529376
[6.0],16.534446764091797
[5.0],22.671936758893516
[0.0],14.32679738562092
[4.0],13.489404641775877
[1.0],17.905617977528188
[1.0],28.37875288683608
[14.0],28.46741045214359
[2.0],19.721925133689815
[1.0],12.096514745308355
[5.0],25.861892583120095
[5.0],17.05754276827373
[3.0],25.23832923832885
[6.0],24.29283819628653
[0.0],13.24137931034486
[11.0],23.369696969697088
[18.0],31.098591549296223
[5.0],17.500756429652032
[13.0],16.66881028938906
[4.0],18.684078352586557
[6.0],16.102127659574528
[7.0],23.93787748058656
[3.0],10.578512396694224
[6.0],20.996677740863664
[8.0],31.738853503185236
[5.0],19.640138408304402
[11.0],18.498338870432004
[4.0],24.98947368421065
[1.0],16.545132743362906
[10.0],18.943620178041613
[5.0],22.236421725239747
[3.0],32.61262729124158
[0.0],14.808022922636143
[5.0],25.03411131059286
[2.0],20.170981336544425
[11.0],17.129032258064445
[2.0],28.225641025641316
[3.0],22.77035681610277
[4.0],16.099777282850678
[10.0],26.07228915662599
[1.0],15.54035567715444
[3.0],23.395583107322885
[9.0],20.497991967871673
[9.0],12.795957043588144
[1.0],12.80862533692721
[7.0],29.344398340248823
[5.0],20.101694915254193
[11.0],11.23975155279504
[7.0],19.587443946188245
[5.0],20.801512287334752
[4.0],15.287984742530172
[6.0],14.919881305637896
[1.0],14.787535410764919
[2.0],18.5162523900574
[12.0],13.604436229205117
[6.0],15.8436703483431
[3.0],19.833740831295845
[0.0],15.057957681692672
[3.0],14.130841121495354
[9.0],21.548989113530485
[10.0],17.168600682593652
[1.0],16.478302796528506
[5.0],18.558704453441347
[4.0],20.21052631578936
[10.0],19.96530359355649
[11.0],18.08436724565762
[5.0],15.0
