OFF_RAT,SHOT_TYPE,Prop
"[96, 99)",Mid_Range,0.4484382357557683
"[96, 99)",Three,0.23638361324752785
"[96, 99)",Paint,0.3151781509967038
"[99, 102)",Three,0.22991420334155407
"[99, 102)",Paint,0.38598075653895586
"[99, 102)",Mid_Range,0.3841050401194901
"[108, 111)",Mid_Range,0.3115211003059772
"[108, 111)",Three,0.3160653155200097
"[108, 111)",Paint,0.37241358417401316
"[93, 96)",Three,0.35165794066317624
"[93, 96)",Paint,0.41492146596858637
"[93, 96)",Mid_Range,0.23342059336823734
"[105, 108)",Mid_Range,0.3101950624809509
"[105, 108)",Three,0.2545336787564767
"[105, 108)",Paint,0.4352712587625724
